Designator,Mid X,Mid Y,Rotation,Layer
D1,90.25,-61.11,90.0,top
D2,95.54,-61.11,90.0,top
D3,100.79,-61.11,90.0,top
D4,106.04,-61.11,90.0,top
D5,111.29,-61.11,90.0,top
D6,116.54,-61.11,90.0,top
D7,121.79,-61.11,90.0,top
D8,127.04,-61.11,90.0,top
J1,83.75,-47.36,180.0,top
R1,90.29,-68.94,270.0,top
R2,95.54,-69.07,270.0,top
R3,100.79,-69.07,270.0,top
R4,106.04,-69.13,270.0,top
R5,111.29,-69.13,270.0,top
R6,116.54,-69.13,270.0,top
R7,121.79,-69.13,270.0,top
R8,127.04,-69.13,270.0,top
U1,97.44,-51.94,0.0,top
U2,118.29,-51.88,0.0,top
U3,97.92,-38.69,0.0,top
U4,119.92,-38.69,0.0,top
U5,120.470735,-28.843015,90.0,top
U6,136.99975,-35.0,180.0,top
